mean,std
0.434701144695282,0.0996420830488205
0.5207106471061707,0.11499045044183731
0.5594562888145447,0.12336653470993042
0.6079813241958618,0.1287270188331604
0.6498429775238037,0.13565650582313538
0.6996150612831116,0.14369826018810272
0.7434194684028625,0.14740240573883057
0.7586673498153687,0.1506398767232895
0.7616218328475952,0.16151496767997742
0.8262701630592346,0.1631879210472107
0.8776691555976868,0.17681191861629486
0.9049368500709534,0.18515196442604065
0.9226835370063782,0.18576039373874664
0.9339590072631836,0.18741203844547272
0.9547083377838135,0.1914290338754654
0.9609807133674622,0.1922227144241333
0.9444344639778137,0.19251170754432678
0.9276844263076782,0.1932978481054306
0.9463356137275696,0.1892610341310501
0.9480247497558594,0.1895006000995636
0.9405080080032349,0.18974848091602325
0.9198639988899231,0.1819254457950592
0.9030461311340332,0.18025068938732147
0.8853632211685181,0.1762140691280365
0.861015260219574,0.17194177210330963
0.8097468614578247,0.16814453899860382
0.7474048733711243,0.16115637123584747
0.7477622628211975,0.15340809524059296
0.7335895895957947,0.14974406361579895
0.6998076438903809,0.14404091238975525
0.6500910520553589,0.1366857886314392
0.602429986000061,0.13087205588817596
0.555913507938385,0.12311005592346191
0.5145413875579834,0.11698254942893982
0.4322755038738251,0.10228441655635834
